iter	MultiClass
0	1.291063569
1	1.224569556
2	1.173009814
3	1.131382548
4	1.098425605
5	1.07131951
6	1.048604511
7	1.030218322
8	1.01372148
9	0.9993158733
10	0.985540825
11	0.9762741429
12	0.9652752716
13	0.9576563739
14	0.9489828247
15	0.9400370192
16	0.9324113258
17	0.9251635197
18	0.9191377437
19	0.9139559126
20	0.9088851484
21	0.9051070164
22	0.8988310539
23	0.895732362
24	0.89221186
25	0.8889373992
26	0.8848950366
27	0.8798571235
28	0.8777334902
29	0.8740180908
30	0.869000668
31	0.8655471836
32	0.8627272023
33	0.8579511282
34	0.8533115283
35	0.8504203371
36	0.8486095252
37	0.8446742988
38	0.8419512399
39	0.8399414148
40	0.8369258637
41	0.8357176779
42	0.8333279285
43	0.8317250211
44	0.8303380992
45	0.8265714219
46	0.8240914113
47	0.8220489192
48	0.8189769363
49	0.815883476
50	0.8141006684
51	0.8129414341
52	0.8116716516
53	0.8081638775
54	0.8057345232
55	0.8027852327
56	0.8011321605
57	0.7994779852
58	0.7984505945
59	0.7957855195
60	0.7934792363
61	0.7924625028
62	0.7911430417
63	0.7896002027
64	0.788058891
65	0.7855646508
66	0.7850981841
67	0.7840095768
68	0.7820883552
69	0.7803455745
70	0.7788517655
71	0.7781385505
72	0.7774052806
73	0.7762117286
74	0.7749853839
75	0.773971274
76	0.7733900161
77	0.7729682409
78	0.7709695002
79	0.770376812
80	0.7685613303
81	0.7680967249
82	0.7675169699
83	0.7670856158
84	0.7662634538
85	0.7650767477
86	0.7637698698
87	0.7622889004
88	0.7606932697
89	0.7601813629
90	0.7593672075
91	0.759100881
92	0.7582992564
93	0.7569887659
94	0.7561907325
95	0.7552348301
96	0.7546104856
97	0.7534491695
98	0.7525816873
99	0.7515323162
100	0.7508837627
101	0.7502546641
102	0.749070361
103	0.7487348536
104	0.7482770261
105	0.7473581118
106	0.746130797
107	0.7455819979
108	0.7452958153
109	0.7439695185
110	0.7435281401
111	0.7428678315
112	0.7418533509
113	0.7415453682
114	0.7413045041
115	0.740292217
116	0.7392889834
117	0.7383259983
118	0.7375898078
119	0.7365854047
120	0.7353573063
121	0.7348143951
122	0.7340173454
123	0.7336529197
124	0.733479561
125	0.7328242479
126	0.7320982368
127	0.7309945436
128	0.7305638864
129	0.7303528005
130	0.7298156494
131	0.729389264
132	0.7288528055
133	0.7286395825
134	0.7278885916
135	0.7275187443
136	0.7267455786
137	0.7259979113
138	0.7251652608
139	0.724370469
140	0.7242345439
141	0.7239340844
142	0.7236112078
143	0.722963412
144	0.7225506523
145	0.7218138832
146	0.7211525587
147	0.7206567995
148	0.7201263798
149	0.7194089191
150	0.7193113171
151	0.7186044746
152	0.7178606756
153	0.717471567
154	0.7173142058
155	0.7167060153
156	0.7161753558
157	0.7156927154
158	0.7147685239
159	0.7146156305
160	0.7143005287
161	0.7138951788
162	0.713514607
163	0.7130034192
164	0.7124092878
165	0.7121063743
166	0.711382845
167	0.711144198
168	0.7109742069
169	0.7105285744
170	0.7099211623
171	0.7097243862
172	0.7094931061
173	0.7091956686
174	0.7087162072
175	0.7086019065
176	0.7085146647
177	0.7079202789
178	0.7076494377
179	0.7074399825
180	0.7071310733
181	0.7066550164
182	0.7061333801
183	0.7058574406
184	0.7057267158
185	0.7053673858
186	0.7050000297
187	0.7044219717
188	0.7041857818
189	0.7039190903
190	0.7034798543
191	0.7032821291
192	0.7030674098
193	0.7024329958
194	0.7019275318
195	0.7017355679
196	0.7015165905
197	0.7012675003
198	0.7008869481
199	0.7004928905
200	0.7002485499
201	0.700007211
202	0.6997252724
203	0.6995379354
204	0.6994507148
205	0.6992467433
206	0.6988081917
207	0.6986540944
208	0.6983036943
209	0.6978391193
210	0.6975546344
211	0.6972472466
212	0.6968935902
213	0.6967479833
214	0.6965954137
215	0.6959109537
216	0.6958147375
217	0.6957452835
218	0.695524495
219	0.6953326058
220	0.6950398986
221	0.69490318
222	0.6945068069
223	0.6944273483
224	0.694098805
225	0.6937695532
226	0.6936547517
227	0.6936274513
228	0.6933673773
229	0.6932611946
230	0.6927842595
231	0.6925014455
232	0.6922258636
233	0.6921425487
234	0.6920084477
235	0.6916263813
236	0.6914925289
237	0.691080438
238	0.6909508853
239	0.6908155695
240	0.6907585777
241	0.6903165603
242	0.6902471221
243	0.6902078262
244	0.689980395
245	0.689636416
246	0.6894044502
247	0.6893070998
248	0.6889917944
249	0.6888986618
250	0.6886354569
251	0.6884740266
252	0.6883549898
253	0.6880394559
254	0.6878325852
255	0.6875983036
256	0.6874782999
257	0.6874119149
258	0.6872288169
259	0.6870354939
260	0.6869004914
261	0.6868902711
262	0.6865821984
263	0.6865550595
264	0.6864315795
265	0.6863033993
266	0.6859269437
267	0.685538258
268	0.6854611326
269	0.6851567853
270	0.6849836489
271	0.6848246941
272	0.6845680103
273	0.6843454741
274	0.6842831152
275	0.6837302541
276	0.6835895068
277	0.6833361473
278	0.6831831809
279	0.682906351
280	0.6825205383
281	0.6824781574
282	0.6823780525
283	0.6821798303
284	0.682063081
285	0.6816172572
286	0.68127757
287	0.6811697271
288	0.6809371149
289	0.6805702893
290	0.6804764475
291	0.6803012246
292	0.6802235708
293	0.6801078343
294	0.6799934038
295	0.6797884982
296	0.6795507603
297	0.6793453657
298	0.6793113548
299	0.6790635838
300	0.6788839865
301	0.6785606689
302	0.6784575413
303	0.6783807974
304	0.6781395477
305	0.6780918058
306	0.6780857821
307	0.678070056
308	0.6779601203
309	0.6778823983
310	0.6778360998
311	0.6777941813
312	0.6775265143
313	0.6774384782
314	0.6773637281
315	0.6772982602
316	0.677177876
317	0.677121064
318	0.6770685807
319	0.6770068823
320	0.6769703789
321	0.6767479155
322	0.6767443621
323	0.6766239663
324	0.6764506438
325	0.6763498215
326	0.6761337107
327	0.6761299202
328	0.6761264752
329	0.676073891
330	0.6758658447
331	0.6755706796
332	0.6753959216
333	0.6752118603
334	0.675070972
335	0.6748600916
336	0.6746470445
337	0.6743697555
338	0.6743179595
339	0.6742879391
340	0.674248802
341	0.6742047735
342	0.6741034696
343	0.6739905351
344	0.6738052856
345	0.6737581419
346	0.6735963931
347	0.6735593739
348	0.6734078986
349	0.673176257
350	0.6731525734
351	0.6731176224
352	0.6730861366
353	0.6730821897
354	0.6729223215
355	0.6729012067
356	0.6728441195
357	0.6728049026
358	0.6727069046
359	0.6725122309
360	0.6722421113
361	0.6721421081
362	0.6719831443
363	0.6719387159
364	0.6719136111
365	0.6717194608
366	0.6716459838
367	0.67162147
368	0.6716027568
369	0.6715175191
370	0.6713736458
371	0.6712316916
372	0.671149564
373	0.6711380771
374	0.6710890301
375	0.671066931
376	0.6708862551
377	0.6707829716
378	0.6707171078
379	0.6706927258
380	0.6705075126
381	0.6703675795
382	0.6703653775
383	0.6703268477
384	0.6701326801
385	0.6701207772
386	0.6701108449
387	0.6700785988
388	0.6699573081
389	0.6699534521
390	0.6698285173
391	0.6696632789
392	0.6695569047
393	0.6693517117
394	0.6693101616
395	0.6692948612
396	0.6692133656
397	0.6691297252
398	0.6690967507
399	0.6690646255
400	0.6689974956
401	0.6689941518
402	0.6688929379
403	0.6686848158
404	0.668624344
405	0.6684568479
406	0.6684192736
407	0.6684111119
408	0.6683184757
409	0.668147822
410	0.6680106656
411	0.6680044672
412	0.6678676863
413	0.6677196813
414	0.6677183221
415	0.6677018475
416	0.6676436601
417	0.6675192409
418	0.6674549261
419	0.6674527246
420	0.6672668727
421	0.6672568163
422	0.6671376262
423	0.6669824019
424	0.6669266849
425	0.66689323
426	0.666843161
427	0.6667428261
428	0.6667195858
429	0.6665553088
430	0.6665503122
431	0.6665362679
432	0.6664061369
433	0.6662479434
434	0.6662305797
435	0.6661950058
436	0.6660385638
437	0.6658699417
438	0.6658366693
439	0.665599049
440	0.6654985422
441	0.6653717978
442	0.6653662654
443	0.6653582408
444	0.6653535789
445	0.6653264574
446	0.6653008438
447	0.6652996698
448	0.6652654334
449	0.66518899
450	0.6650868639
451	0.6650807618
452	0.6650259197
453	0.6649823372
454	0.6649242076
455	0.6648443181
456	0.6648315276
457	0.6648075517
458	0.6647297426
459	0.6647086356
460	0.6646526387
461	0.6646272892
462	0.6645074039
463	0.6644359423
464	0.6644328737
465	0.6644316841
466	0.6643416315
467	0.6643044877
468	0.6642035436
469	0.6640555577
470	0.6640268499
471	0.6640036503
472	0.6638800276
473	0.6637890098
474	0.6637264977
475	0.6635958318
476	0.6634406547
477	0.6634042076
478	0.6633912857
479	0.6633802297
480	0.6633665942
481	0.6633476174
482	0.6633446612
483	0.6632221685
484	0.6631476013
485	0.6630929647
486	0.6630722498
487	0.6629969983
488	0.6629712403
489	0.6628227071
490	0.6627889416
491	0.6627818795
492	0.6626487413
493	0.6625535981
494	0.6625263703
495	0.66246006
496	0.6624420946
497	0.6623554086
498	0.6622903961
499	0.6622034156
500	0.6622011039
501	0.6621828638
502	0.6620496931
503	0.6619617301
504	0.6619451677
505	0.6618924999
506	0.6617488
507	0.6617196857
508	0.661607497
509	0.6615924971
510	0.6614812662
511	0.6613582667
512	0.6612028534
513	0.6611139022
514	0.6610594457
515	0.6609773509
516	0.6609264168
517	0.6608436886
518	0.6608267636
519	0.6608227508
520	0.660729023
521	0.6606156989
522	0.660587334
523	0.6604804184
524	0.6604733887
525	0.6604147207
526	0.6604049919
527	0.6603778517
528	0.6603613373
