iter	Passed	Remaining
0	18	9691
1	32	8441
2	46	8074
3	59	7837
4	71	7473
5	84	7325
6	96	7233
7	110	7168
8	121	7040
9	134	7004
10	147	6968
11	162	7003
12	176	6993
13	187	6899
14	200	6867
15	213	6833
16	226	6826
17	243	6914
18	257	6921
19	269	6854
20	282	6831
21	295	6799
22	308	6791
23	320	6733
24	332	6709
25	345	6691
26	360	6699
27	373	6684
28	384	6630
29	397	6616
30	412	6631
31	425	6614
32	439	6598
33	451	6569
34	471	6660
35	487	6674
36	499	6639
37	512	6622
38	526	6610
39	539	6595
40	550	6555
41	564	6549
42	578	6536
43	592	6529
44	605	6508
45	616	6470
46	629	6455
47	642	6439
48	660	6465
49	678	6504
50	696	6530
51	709	6508
52	722	6490
53	735	6468
54	747	6438
55	760	6422
56	773	6404
57	787	6393
58	802	6390
59	816	6379
60	828	6359
61	842	6345
62	855	6328
63	869	6315
64	881	6292
65	893	6268
66	908	6265
67	926	6280
68	944	6299
69	959	6291
70	973	6277
71	986	6261
72	999	6244
73	1011	6222
74	1024	6203
75	1037	6186
76	1051	6171
77	1064	6155
78	1075	6128
79	1088	6109
80	1101	6094
81	1115	6082
82	1127	6057
83	1140	6041
84	1154	6028
85	1167	6011
86	1180	5998
87	1192	5974
88	1206	5964
89	1221	5959
90	1237	5956
91	1253	5955
92	1268	5946
93	1280	5925
94	1294	5913
95	1307	5896
96	1321	5887
97	1336	5876
98	1347	5852
99	1361	5838
100	1373	5821
101	1386	5805
102	1397	5781
103	1409	5761
104	1422	5745
105	1436	5733
106	1449	5717
107	1461	5696
108	1473	5678
109	1487	5664
110	1500	5650
111	1511	5628
112	1525	5615
113	1539	5604
114	1552	5588
115	1566	5576
116	1578	5556
117	1589	5536
118	1604	5528
119	1618	5514
120	1631	5501
121	1645	5490
122	1658	5475
123	1675	5470
124	1695	5480
125	1707	5462
126	1721	5447
127	1735	5435
128	1750	5426
129	1762	5410
130	1774	5390
131	1787	5375
132	1800	5361
133	1813	5345
134	1827	5332
135	1838	5313
136	1851	5297
137	1865	5284
138	1878	5270
139	1889	5251
140	1903	5237
141	1917	5226
142	1934	5223
143	1953	5222
144	1968	5212
145	1981	5197
146	1994	5184
147	2011	5177
148	2022	5157
149	2035	5144
150	2048	5127
151	2061	5112
152	2074	5099
153	2086	5080
154	2099	5066
155	2113	5053
156	2127	5040
157	2143	5033
158	2156	5017
159	2167	4998
160	2180	4983
161	2195	4974
162	2209	4962
163	2223	4949
164	2235	4930
165	2248	4915
166	2261	4902
167	2275	4888
168	2286	4870
169	2300	4858
170	2314	4845
171	2328	4832
172	2341	4819
173	2354	4803
174	2365	4785
175	2378	4770
176	2391	4756
177	2408	4749
178	2422	4736
179	2433	4719
180	2446	4704
181	2459	4689
182	2473	4676
183	2484	4658
184	2497	4644
185	2512	4632
186	2525	4618
187	2539	4606
188	2553	4593
189	2564	4575
190	2579	4564
191	2592	4550
192	2605	4536
193	2622	4527
194	2633	4510
195	2646	4495
196	2659	4482
197	2672	4468
198	2686	4454
199	2697	4437
200	2712	4425
201	2732	4423
202	2752	4420
203	2763	4402
204	2776	4388
205	2790	4375
206	2809	4370
207	2822	4356
208	2837	4344
209	2850	4329
210	2862	4313
211	2875	4299
212	2888	4285
213	2902	4272
214	2913	4255
215	2926	4241
216	2940	4227
217	2954	4214
218	2969	4203
219	2986	4194
220	3005	4188
221	3018	4174
222	3030	4157
223	3042	4143
224	3057	4130
225	3071	4117
226	3084	4102
227	3095	4087
228	3110	4074
229	3123	4059
230	3137	4047
231	3150	4033
232	3162	4017
233	3176	4004
234	3192	3993
235	3206	3980
236	3221	3969
237	3234	3954
238	3248	3941
239	3260	3925
240	3273	3912
241	3288	3899
242	3301	3886
243	3315	3872
244	3329	3859
245	3341	3844
246	3355	3830
247	3368	3816
248	3382	3804
249	3397	3791
250	3412	3779
251	3424	3763
252	3437	3749
253	3450	3736
254	3465	3723
255	3479	3710
256	3492	3696
257	3507	3683
258	3521	3671
259	3535	3658
260	3549	3644
261	3562	3630
262	3575	3616
263	3587	3601
264	3602	3588
265	3617	3576
266	3630	3562
267	3644	3549
268	3659	3536
269	3675	3525
270	3687	3510
271	3702	3498
272	3717	3486
273	3732	3473
274	3747	3461
275	3765	3451
276	3785	3443
277	3799	3430
278	3814	3417
279	3829	3405
280	3843	3391
281	3856	3378
282	3869	3363
283	3883	3350
284	3898	3337
285	3913	3325
286	3927	3311
287	3941	3298
288	3956	3285
289	3968	3270
290	3982	3257
291	3997	3244
292	4013	3232
293	4030	3221
294	4051	3213
295	4065	3200
296	4081	3188
297	4095	3175
298	4109	3161
299	4123	3147
300	4137	3133
301	4152	3121
302	4164	3106
303	4181	3094
304	4194	3080
305	4209	3067
306	4223	3054
307	4237	3040
308	4252	3027
309	4266	3014
310	4278	2999
311	4292	2985
312	4306	2972
313	4321	2958
314	4335	2945
315	4349	2931
316	4364	2918
317	4377	2904
318	4391	2890
319	4405	2877
320	4419	2863
321	4433	2849
322	4447	2836
323	4459	2821
324	4475	2809
325	4491	2796
326	4505	2783
327	4519	2769
328	4532	2755
329	4546	2741
330	4558	2727
331	4573	2713
332	4587	2700
333	4602	2686
334	4615	2673
335	4630	2659
336	4644	2646
337	4656	2631
338	4670	2617
339	4685	2604
340	4700	2591
341	4714	2577
342	4728	2563
343	4740	2549
344	4755	2536
345	4768	2522
346	4784	2509
347	4803	2498
348	4826	2489
349	4838	2474
350	4852	2460
351	4866	2447
352	4882	2434
353	4896	2420
354	4911	2407
355	4926	2394
356	4938	2379
357	4952	2365
358	4966	2351
359	4980	2338
360	4995	2324
361	5009	2310
362	5021	2296
363	5038	2284
364	5054	2271
365	5075	2260
366	5095	2249
367	5110	2235
368	5124	2221
369	5136	2207
370	5152	2194
371	5167	2181
372	5182	2167
373	5196	2153
374	5209	2139
375	5224	2125
376	5236	2111
377	5252	2098
378	5266	2084
379	5281	2071
380	5297	2057
381	5311	2043
382	5324	2029
383	5338	2015
384	5350	2001
385	5365	1987
386	5380	1974
387	5394	1960
388	5407	1946
389	5424	1933
390	5442	1921
391	5459	1908
392	5475	1894
393	5489	1880
394	5501	1866
395	5515	1852
396	5529	1838
397	5544	1824
398	5560	1811
399	5574	1797
400	5591	1784
401	5604	1770
402	5616	1756
403	5630	1742
404	5644	1728
405	5658	1714
406	5674	1701
407	5691	1687
408	5706	1674
409	5719	1660
410	5731	1645
411	5744	1631
412	5758	1617
413	5772	1603
414	5786	1589
415	5799	1575
416	5813	1561
417	5829	1547
418	5850	1535
419	5870	1523
420	5885	1509
421	5900	1496
422	5912	1481
423	5927	1467
424	5941	1453
425	5955	1440
426	5969	1426
427	5984	1412
428	6000	1398
429	6015	1384
430	6027	1370
431	6042	1356
432	6056	1342
433	6070	1328
434	6085	1314
435	6101	1301
436	6123	1289
437	6144	1276
438	6160	1263
439	6175	1249
440	6189	1235
441	6203	1221
442	6217	1206
443	6231	1192
444	6243	1178
445	6258	1164
446	6274	1151
447	6288	1136
448	6302	1122
449	6316	1108
450	6330	1094
451	6342	1080
452	6356	1066
453	6371	1052
454	6385	1038
455	6399	1024
456	6413	1010
457	6425	996
458	6440	982
459	6454	968
460	6469	954
461	6483	940
462	6497	926
463	6514	912
464	6528	898
465	6540	884
466	6555	870
467	6568	856
468	6584	842
469	6597	828
470	6611	814
471	6623	799
472	6637	785
473	6650	771
474	6665	757
475	6679	743
476	6695	729
477	6710	715
478	6722	701
479	6735	687
480	6749	673
481	6764	659
482	6778	645
483	6794	631
484	6806	617
485	6818	603
